MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt
1-00444-7501,271-R1,72 EAST 3 STREET,EAST VILLAGE,1,20,1900,17225,550000,31.9,2629994,153
1-00451-7502,1231-R1,240 EAST 10 STREET,EAST VILLAGE,1,35,1999,62556,2390000,38.2,11999995,192
1-00463-7501,224-R1,63 COOPER SQUARE,EAST VILLAGE,1,36,1984,24528,1100000,44.8,5519998,225
1-00464-7501,643-R1,214 EAST 9 STREET,EAST VILLAGE,1,14,1900,14650,470000,32.1,2250000,154
1-00469-7501,390-R1,105 3 AVENUE,EAST VILLAGE,1,16,1920,12192,365000,29.9,1749995,144
1-00386-7501,548-R1,211 EAST 3 STREET,EAST VILLAGE,0,13,1920,18990,436770,23,1900004,100
1-00393-7501,1138-R1,642 EAST 11 STREET,EAST VILLAGE,0,35,1999,36046,1117426,31,5349997,148
1-00394-7502,1113-R1,613 EAST 11 STREET,EAST VILLAGE,0,12,2001,15957,478710,30,2289996,144
1-00394-7503,1124-R1,625 EAST 11 STREET,EAST VILLAGE,0,12,2001,11495,389450,33.9,1870000,163
1-00398-7501,394-R1,182 EAST 2 STREET,EAST VILLAGE,0,41,1987,35664,1034256,29,4950007,139
1-00405-7503,1104-R1,511 EAST 11 STREET,EAST VILLAGE,0,12,1999,14376,431280,30,2070000,144
1-00406-7501,852-R1,212 AVENUE B,EAST VILLAGE,0,24,1900,15021,315441,21,1370001,91
1-00407-7501,338-R1,214 AVENUE A,EAST VILLAGE,0,18,1920,11033,220660,20,932000,84
1-00407-7502,1081-R1,503 EAST 13 STREET,EAST VILLAGE,0,18,1999,19119,559230,29.2,2680001,140
1-00440-7503,1503-R1,431 EAST 12 STREET,EAST VILLAGE,0,13,1900,20099,510000,25.4,2210002,110
1-00465-7501,1972-R1,38 STUYVESANT STREET,EAST VILLAGE,0,12,1900,14269,438771,30.7,2100001,147
1-00525-7501,150-R1,156 BLEECKER STREET,GREENWICH VILLAGE,2,190,1910,132000,3346200,25.4,14100000,107
1-00525-7503,646-R1,177 THOMPSON STREET,GREENWICH VILLAGE,2,54,1958,23688,604044,25.5,2770000,117
1-00535-7501,295-R1,14 WEST 4 STREET,GREENWICH VILLAGE,2,273,1908,290492,9586236,33,43900000,151
1-00540-7501,567-R1,173 BLEECKER STREET,GREENWICH VILLAGE,2,18,1900,15744,409344,26,1870000,119
1-00542-7501,484-R1,205 BLEECKER STREET,GREENWICH VILLAGE,2,24,1928,17842,465000,26.1,2130000,119
1-00542-7502,644-R1,189 BLEECKER STREET,GREENWICH VILLAGE,2,40,1900,22777,630000,27.7,2880000,126
1-00544-7502,1496-R1,443 LAFAYETTE STREET,GREENWICH VILLAGE,2,39,2004,116535,4894470,42,23300000,200
1-00548-7501,797-R1,60 EAST 8 STREET,GREENWICH VILLAGE,2,390,1965,445151,15580285,35,74000000,166
1-00557-7501,39-R1,806 BROADWAY,GREENWICH VILLAGE,2,65,1900,83089,2201858,26.5,10100000,122
1-00560-7501,306-R1,21 UNIVERSITY PLACE,GREENWICH VILLAGE,2,145,1955,136098,3606597,26.5,16500000,121
1-00560-7502,304-R1,40 EAST 9 STREET,GREENWICH VILLAGE,2,150,1959,160209,4646061,29,21300000,133
1-00560-7503,303-R1,60 EAST 9 STREET,GREENWICH VILLAGE,2,213,1954,140370,3789990,27,17400000,124
1-00561-7501,787-R1,63 EAST 9 STREET,GREENWICH VILLAGE,2,229,1955,209785,5873980,28,26900000,128
