MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Coordinate
1-01823-7502,1545-R1,61 LENOX AVENUE,HARLEM,1,15,1900,18567,464000,24.99,1920002,103,40.9467361049 -73.835076542
1-01914-7502,1690-R1,381 LENOX AVENUE,HARLEM,1,19,2007,29315,997000,34,4640000,158,43.0917328261 -75.6580926522
1-01924-7501,1348-R1,163 ST NICHOLAS AVENUE,HARLEM,1,64,2003,63252,1707804,27,7069998,112,40.8054238 -73.9529843
1-01950-7501,1852-R1,258 ST NICHOLAS AVENUE,HARLEM,1,52,2006,70212,1474452,21,6100000,87,40.8092766 -73.9528264
1-02007-7501,1922-R1,555 LENOX AVENUE,HARLEM,1,32,1910,23822,714660,30,3330000,140,43.090019551 -75.6625240612
1-02044-7502,1511-R1,24 BRADHURST AVENUE,HARLEM,1,26,1920,35390,708000,20.01,2650003,75,40.8221712 -73.9436477485
1-02045-7501,1640-R1,68 BRADHURST AVENUE,HARLEM,1,180,2005,204835,6145000,30,28599996,140,40.8235745714 -73.9425592857
1-01600-7501,1073-R1,130 LENOX AVENUE,HARLEM,2,240,1999,312016,8736000,28,36200000,116,42.6626788036 -73.8078168393
1-01745-7501,1382-R1,1825 MADISON AVENUE,HARLEM,2,92,2003,97592,3000000,30.7,14000000,143,42.700912 -73.8162739
1-02045-7502,1717-R1,102 BRADHURST AVENUE,HARLEM,2,135,2005,164085,4923000,30,22900000,140,40.824623 -73.941782
1-02045-7503,2049-R1,130 BRADHURST AVENUE,HARLEM,2,134,2007,161156,0,0,8695005,54,40.8254645556 -73.9411645556
1-01676-7504,1905-R1,2019 1 AVENUE,HARLEM,1,38,2007,32660,940000,28.8,3890000,119,40.614211 -73.8999599
1-01680-7501,458-R1,305 EAST 108 STREET,HARLEM,1,33,1926,46998,940000,20,3509998,75,40.6536338 -73.897785
1-01681-7501,1573-R1,2132 2 AVENUE,HARLEM,1,31,2006,32483,1260000,38.8,6190004,191,40.600834 -74.1458979
1-01788-7501,1820-R1,2279 3 AVENUE,HARLEM,1,11,2006,16737,470000,28.1,1949999,117,40.600409 -74.1449409
1-01623-7501,1322-R1,1787 MADISON AVENUE,HARLEM,2,152,2003,109646,3290000,30,15300000,140,40.8009081 -73.9439847
1-02090-7501,1832-R1,660 RIVERSIDE DRIVE,HARLEM,1,54,1908,30886,618000,20.01,2310000,75,40.8259245 -73.9527155
1-02090-7502,2015-R1,668 RIVERSIDE DRIVE,HARLEM,1,64,1907,43135,690160,16,2330000,54,40.8261852 -73.9525197
1-02092-7501,1897-R1,680 RIVERSIDE DRIVE,HARLEM,1,25,1926,24132,410244,17,1530002,63,40.8272132 -73.9516047
1-02093-7501,1896-R1,690 RIVERSIDE DRIVE,HARLEM,1,35,1920,30441,609000,20.01,2280000,75,40.8278094 -73.9509953
1-02094-7501,1673-R1,706 RIVERSIDE DRIVE,HARLEM,1,50,1913,86020,1978000,22.99,8189999,95,40.828607 -73.9504099
1-02094-7502,2100-R1,700 RIVERSIDE DRIVE,HARLEM,1,36,1920,38578,424358,11,1100001,28.5,40.8283464 -73.9506069
1-02096-7501,1680-R1,725 RIVERSIDE DRIVE,HARLEM,1,74,1912,107100,1178100,11,13799998,129,44.2926963674 -73.9337932034
1-01319-7502,1614-R1,845 2 AVENUE,MIDTOWN EAST,1,18,2001,11861,550000,46.4,2700000,228,40.600834 -74.1458979
1-01336-7501,168-R1,806 2 AVENUE,MIDTOWN EAST,1,79,1983,127399,5355000,42,26300023,206,40.600834 -74.1458979
1-01338-7501,247-R1,846 2 AVENUE,MIDTOWN EAST,1,113,1980,86845,3300000,38,15400016,177,40.600834 -74.1458979
