 Boro-Block-Lot, Condo Section, Neighborhood, Building Classification, Total Units, Year Built, Gross SqFt, Est. Gross Income, Gross Income per SqFt, Full Market Value,Market Value per SqFt,Normalized Market Value per SqFt,Normalized Gross Income,Normalized Gross Income per sqt,normailized full market value
1-00601-7501,542-R1,2,1,184,1920,212232,6740000,31.8,32699991,154,186.3960839,8110116.929,38.21345004,39559213.68
1-00602-7501,1368-R1,2,1,142,2002,310000,14000000,45.2,70400002,227,274.7526691,16837951.64,54.31597302,85173327.42
1-00604-7501,79-R1,2,1,83,1920,88227,2550000,28.9,12399998,141,170.6613495,3063998.046,34.72857567,15056938.88
1-00608-7501,487-R1,2,1,214,1961,165160,4600000,27.9,22300011,135,163.3991644,5537301.953,33.52689485,26987005.99
1-00609-7502,965-R1,2,1,18,1912,46687,1235000,26.5,5979998,128,154.9266152,1486726.118,31.8445417,7233058.884
1-00610-7501,366-R1,2,1,113,1931,120723,3150000,26.1,15300009,127,153.716251,3786340.403,31.36386938,18557086.97
1-00612-7501,530-R1,2,1,21,1987,18780,665000,35.4,3339999,178,215.4448242,798891.8286,42.53950099,4046053.798
1-00612-7502,626-R1,2,2,30,1910,19715,450000,22.83,2010000,102,123.4571465,540868.6657,27.4343731,2433957.643
1-00612-7503,698-R1,2,2,25,1905,13997,350000,25,1560000,111,134.3504241,420498.1607,30.04202048,1880502.886
1-00612-7504,850-R1,2,1,122,1964,92616,2150000,23.21,9610009,104,125.8778748,2583153.95,27.89101181,11658305.25
1-00616-7501,445-R1,2,2,241,1931,209011,4660000,22.3,20800000,100,121.0364181,5600968.565,26.79748226,25297942.78
1-00618-7501,447-R1,2,1,132,1987,101634,3385000,33.3,16400002,161,194.8686331,4066983.224,40.01597127,19805278.66
1-00620-7501,1087-R1,2,1,22,1998,41506,1950000,47,9799999,236,285.6459467,2344217.311,56.47899849,11856020.66
1-00620-7502,1459-R1,2,0,40,1893,18403,480000,26.1,2329995,127,153.716251,577189.2882,31.36386938,2828840.167
1-00621-7503,1688-R1,2,0,21,1914,13648,436736,32,2119998,155,187.6064481,524817.2742,38.45378621,2560452.804
1-00623-7501,776-R1,2,2,60,1920,32638,850000,26,4120000,126,152.5058868,1019731.923,31.24370129,4977487.133
1-00624-7502,106-R1,2,1,15,1983,27448,780000,28.4,3780009,138,167.030257,936738.0774,34.12773526,4584646.494
1-00624-7503,439-R1,2,1,128,1910,138934,3400000,24.47,15200000,109,131.9296957,4085372.281,29.40512964,18329520.34
1-00624-7504,640-R1,2,2,87,1939,75154,1965000,26.1,9520000,127,153.716251,2357120.239,31.36386938,11552391.13
1-00625-7501,363-R1,2,1,182,1930,159268,3835000,24.08,17101368,107,129.5089674,4608654.36,28.93647412,20626634.22
1-00629-7501,469-R1,2,1,21,1907,30312,720000,23.75,3220001,106,128.2986032,865102.0384,28.53991945,3888987.26
1-00629-7502,544-R1,2,1,49,1962,32863,925000,28.1,4480003,136,164.6095286,1109692.513,33.76723101,5409562.938
1-00629-7503,1057-R1,2,1,47,1920,123881,4500000,36.3,22599998,182,220.2862809,5403814.802,43.62101373,27289284.76
1-00629-7504,1120-R1,2,1,11,1920,23425,815000,34.8,4100004,175,211.8137317,979598.1868,41.8184925,4961736.665
1-00631-7501,18-R1,2,2,20,1910,53943,1580000,29.3,7660000,142,171.8717137,1899292.465,35.209248,9271275.852
1-00631-7502,376-R1,2,1,77,1987,73176,2470000,33.8,11999996,164,198.4997257,2972175.811,40.61681168,14525415.93
1-00635-7501,158-R1,2,1,24,1930,42407,1050000,24.76,4690003,111,134.3504241,1261761.64,29.75361708,5697398.435
1-00636-7501,1011-R1,2,1,24,1997,38871,1670000,43,8400001,216,261.4386631,2008553.01,51.67227522,10162382.27
1-00636-7502,1542-R1,2,1,20,1900,11852,310000,26.2,1500005,127,153.716251,373148.812,31.48403746,1821845.007
1-00637-7501,301-R1,2,1,32,1913,48708,1275000,26.2,6179996,127,153.716251,1533524.497,31.48403746,7487211.154
1-00637-7502,473-R1,2,1,81,1987,60200,1750000,29.1,8480001,141,170.6613495,2105128.492,34.96891183,10273813.24
1-00637-7504,1229-R1,2,1,23,2001,88141,4000000,45.4,20100000,228,275.9630333,4808647.647,54.55630918,24323657.72
1-00637-7505,1453-R1,2,1,29,2004,72225,3140000,43.5,15799989,219,265.0697556,3775425.776,52.27311563,19144663.1
1-00638-7501,576-R1,2,1,24,1988,21991,715000,32.5,3459998,157,190.0271764,858850.294,39.05462662,4178887.636
1-00638-7502,1211-R1,2,1,18,1999,31455,1310000,41.6,6589999,210,254.176478,1572432.999,49.98992207,7995121.115
1-00641-7501,329-R1,2,1,27,1910,20546,575000,28,2790001,136,164.6095286,691312.555,33.64706293,3382067.375
1-00642-7502,1066-R1,2,1,84,1997,147335,5900000,40,29700002,202,244.4935646,7081985.739,48.06723276,36022459.34
1-00643-7501,314-R1,2,0,12,1910,11270,295000,26.2,1429997,127,152.613464,354825.1022,31.48403746,1719953.739
1-01599-7501,1359-R1,3,1,129,2003,163480,3555690,21.75,15900001,97,94.71471009,3471919.047,21.23757675,15483960.81
1-01600-7501,1073-R1,3,2,240,1999,312016,7800400,25,34900000,112,109.3613147,7616624.997,24.41100776,34122479.97
1-01720-7501,1323-R1,3,1,36,1909,40987,656000,16.01,2670000,65,63.46862017,640741.9576,15.63280937,2601388.335
1-01721-7501,751-R1,3,1,24,1900,27073,415000,15.33,1690000,62,60.53929924,405251.1335,14.96882996,1638980.448
1-01724-7501,1713-R1,3,1,23,2005,32150,691225,21.5,3089998,96,93.73826978,674939.9534,20.99346667,3013685.373
1-01727-7501,1578-R1,3,1,77,2005,131237,3674636,28,17800005,136,132.7958822,3588062.716,27.34032869,17427733.19
1-01729-7501,846-R1,3,1,34,1898,28408,519866,18.3,2109999,74,72.25658296,507618.509,17.86885768,2052665.009
1-01729-7503,1530-R1,3,0,12,2004,15230,369936,24.29,1650001,108,105.4555535,361221.1062,23.71773514,1606088.08
1-01745-7501,1382-R1,3,2,92,2003,97592,3099521,31.8,15000000,154,150.3718078,3030309.856,31.05080187,14675085.47
1-01753-7501,1525-R1,3,1,12,2005,12000,340000,28.3,1649998,137,133.7723225,331599.1294,27.63326078,1605267.87
1-01753-7502,1656-R1,3,1,18,2004,15023,360000,23.96,1610001,107,104.4791132,351470.7442,23.39550983,1569589.718
1-01755-7501,1470-R1,3,0,25,2004,40418,999941,24.74,4470000,111,108.3848744,976383.0129,24.15713328,4380699.853
1-01820-7501,592-R1,3,1,35,1910,36637,623000,17,2529997,69,67.37438141,608155.3418,16.59948527,2468395.212
1-01820-7502,1520-R1,3,1,17,1900,22039,661170,30,3200000,145,141.583845,645593.04,29.29320931,3120366.36
1-01823-7501,807-R1,3,1,54,1915,58429,847000,14.5,3360006,58,56.63353799,827260.248,14.1583845,3309040.991
1-01823-7502,1545-R1,3,1,15,1900,18567,464175,25,2069998,111,108.3848744,453239.1811,24.41100776,2012381.963
1-01826-7501,591-R1,3,1,35,1911,48636,827000,17,3359999,69,67.37438141,807332.5656,16.59948527,3276820.414
1-01826-7502,1662-R1,3,1,24,0,18540,315000,16.99,1279997,69,67.37438141,307573.4249,16.58972087,1249121.031
1-01828-7501,749-R1,3,1,14,1900,18448,314000,17.02,1280000,69,67.37438141,306587.5717,16.61901408,1242922.588
1-01828-7502,1332-R1,3,1,13,1920,23700,403000,17,1640000,69,67.37438141,393407.8009,16.59948527,1596772.839
1-01828-7503,1540-R1,3,0,13,1900,6866,205980,30,997999,145,141.583845,201127.1751,29.29320931,972114.6798
1-01828-7505,1684-R1,3,0,14,0,6846,205380,30,994998,145,141.583845,200541.3109,29.29320931,969283.0029
1-01829-7501,1440-R1,3,1,33,0,28560,685440,24,3060001,107,104.4791132,669291.2464,23.43456745,2983923.473
