MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-01343-7501,60-R1,317 EAST 50 STREET,4,1,115,1931,93015,2450000,26.3,10100000,109,40.754773,-73.96756
1-01344-7502,1212-R1,351 EAST 51 STREET,4,1,64,2000,158085,7850000,49.7,39499998,250,40.7548307,-73.9661256
1-01344-7501,145-R1,335 EAST 51 STREET,4,1,97,1963,67540,2100000,31.1,9780002,145,40.755107,-73.966432
1-01324-7501,518-R1,245 EAST 50 STREET,4,1,16,1980,19082,765000,40.1,3759998,197,40.755309,-73.9690497
1-01365-7501,283-R1,966 1 AVENUE,4,1,189,1958,196802,6900000,35.1,32100020,163,40.7558361,-73.9644255
1-01365-7502,575-R1,400 EAST 54 STREET,4,1,228,1972,242825,8900000,36.7,41499995,171,40.7560049,-73.9640715
1-01366-7501,59-R1,415 EAST 54 STREET,4,1,106,1983,174032,8000000,46,39299971,226,40.7561323,-73.9633677
1-01346-7503,475-R1,975 1 AVENUE,4,1,59,1941,53435,1935040,36.2,9010009,169,40.7561613,-73.9645142
1-01325-7502,424-R1,230 EAST 52 STREET,4,1,27,1901,15410,580000,37.6,2699993,175,40.756359,-73.96874
1-01345-7501,1594-R1,310 EAST 53 STREET,4,1,85,2006,166692,8200000,49.2,40299993,242,40.756366,-73.967001
1-01325-7503,1931-R1,209 EAST 51 STREET,4,1,73,1958,65985,2550000,38.6,12500013,189,40.756375,-73.969514
1-01325-7501,227-R1,226 EAST 52 STREET,4,1,25,1984,46800,1780000,38,8289997,177,40.756422,-73.968828
1-01326-7501,1840-R1,250 EAST 53 STREET,4,1,135,2006,197233,8000000,40.6,39299997,199,40.7567573,-73.9675341
1-01346-7501,323-R1,320 EAST 54 STREET,4,1,90,1959,65000,1980000,30.5,9220004,142,40.7568119,-73.965763
1-01327-7502,896-R1,250 EAST 54 STREET,4,1,177,1990,237531,10250000,43.2,50300000,212,40.757383,-73.967264
1-01368-7501,91-R1,444 EAST 57 STREET,4,1,60,1929,97636,3100000,31.8,14400001,147,40.7574479,-73.9613789
1-01347-7501,1396-R1,300 EAST 55 STREET,4,1,118,2003,219278,9200000,42,45200009,206,40.757719,-73.9687241
1-01369-7501,278-R1,420 EAST 58 STREET,4,1,75,1986,85992,3200000,37.2,14900018,173,40.758421,-73.96609
1-01370-7501,37-R1,40 SUTTON PLACE,4,1,75,1981,61175,2350000,38.4,11500003,188,40.758529,-73.9638143
1-01329-7501,2007-R1,231 EAST 55 STREET,4,1,40,2000,54638,3000000,55,14700004,269,40.7585424,-73.961752
1-01349-7502,1632-R1,330 EAST 57 STREET,4,1,14,2005,41406,2300000,56,11300002,273,40.758614,-73.960155
1-01330-7501,1563-R1,212 EAST 57 STREET,4,1,38,2004,70308,3450000,49.1,16900011,240,40.759844,-73.9670019
1-01331-7503,1538-R1,207 EAST 57 STREET,4,1,67,2005,104916,4725000,45,23199997,221,40.7602341,-73.964347
1-01331-7501,541-R1,200 EAST 58 STREET,4,1,115,1963,128436,4500000,35,20999991,164,40.7606982,-73.963151
1-01327-7501,795-R1,211 EAST 53 STREET,4,2,146,1957,126021,4300000,34.1,20000000,159,40.7575799,-73.967026
1-01349-7501,510-R1,345 EAST 56 STREET,4,2,174,1960,198115,6950000,35.1,32400000,164,40.7578691,-73.966509
1-01350-7501,178-R1,351 EAST 57 STREET,4,2,115,1958,95347,3200000,33.6,14900000,156,40.758629,-73.9670198
1-01331-7502,563-R1,225 EAST 57 STREET,4,2,260,1964,305093,9450000,31,44000000,144,40.760041,-73.9668485
1-01263-7501,1655-R1,16 WEST 48 STREET,5,1,152,2005,148385,7270865,49,35699983,241,40.7576294,-73.9792107
1-01032-7501,1531-R1,350 WEST 42 STREET,5,1,528,2004,604403,28406941,47,138999974,230,40.7579922,-73.9922178
1-01018-7502,1875-R1,247 WEST 46 STREET,5,1,218,2006,293691,14390859,49,70600020,240,40.759916,-73.9873785
1-01020-7502,1519-R1,1600 BROADWAY,5,1,137,2005,165323,8100827,49,39800049,241,40.7602585,-73.9844259
1-01038-7501,2011-R1,306 WEST 48 STREET,5,1,122,2007,125813,5409959,43,26600017,211,40.76106,-73.987661
1-01269-7501,90-R1,15 WEST 53 STREET,5,1,248,1982,503000,22132000,44,109000000,217,40.7612038,-73.9773054
1-01003-7501,347-R1,150 WEST 51 STREET,5,1,445,1927,328716,13148640,40,64499995,196,40.7614678,-73.9825857
1-01270-7501,1599-R1,40 WEST 55 STREET,5,1,35,1925,44350,1463550,33,6819997,154,40.762239,-73.9766088
1-01040-7501,633-R1,350 WEST 50 STREET,5,1,704,1989,551052,23144184,42,113999994,207,40.7628948,-73.9880747
1-01271-7501,7-R2,1360 6 AVENUE,5,1,183,1963,141738,4960830,35,23100030,163,40.7630541,-73.9781044
1-01006-7501,130-R1,825 7 AVENUE,5,1,212,1968,223307,8485666,38,39500032,177,40.7630615,-73.9813814
1-01042-7502,1626-R1,310 WEST 52 STREET,5,1,215,2005,249339,11220255,45,55100008,221,40.7635957,-73.9817549
1-01043-7502,280-R1,879 8 AVENUE,5,1,65,1947,54655,1639650,30,7640019,140,40.7639079,-73.9859404
1-01008-7501,84-R1,108 WEST 56 STREET,5,1,50,1982,96492,4052664,42,19900019,206,40.7639151,-73.9849552
1-01008-7503,540-R1,150 WEST 56 STREET,5,1,340,1987,494266,21747704,44,106999986,216,40.7642846,-73.9785924
1-01273-7501,141-R1,58 WEST 58 STREET,5,1,168,1969,206973,7864974,38,36599996,177,40.7645553,-73.9796854
1-01008-7502,534-R1,162 WEST 56 STREET,5,1,65,1926,74422,2604770,35,12100007,163,40.7645977,-73.9763
1-01274-7504,1508-R1,768 5 AVENUE,5,1,164,1907,395521,24917823,63,121999996,308,40.7646095,-73.9802061
1-01043-7503,1461-R1,350 WEST 53 STREET,5,1,66,2005,56935,2562075,45,12600009,221,40.7648322,-73.9743547
1-01009-7501,364-R1,146 WEST 57 STREET,5,1,247,1986,399221,17565724,44,86199996,216,40.7649292,-73.986874
1-01274-7502,702-R1,57 WEST 58 STREET,5,1,88,1901,68219,2387665,35,11100002,163,40.7649625,-73.9792691
1-01010-7505,1524-R1,100 WEST 58 STREET,5,1,103,1926,121921,4632998,38,21600014,177,40.7650601,-73.9761815
1-01010-7502,513-R1,120 WEST 58 STREET,5,1,33,1923,32796,983880,30,4580001,140,40.76515,-73.977193
1-01011-7505,1018-R1,1431 6 AVENUE,5,1,80,1918,87821,3512840,40,17200003,196,40.7652022,-73.977739
1-01274-7503,1150-R1,50 CENTRAL PARK SOUTH,5,1,11,1931,84843,4072464,48,19999998,236,40.7653143,-73.9765985
1-01010-7504,1153-R1,171 WEST 57 STREET,5,1,35,1922,88288,2913504,33,13599999,154,40.76549,-73.9759584
1-01027-7504,1278-R1,230 WEST 56 STREET,5,1,108,2002,210177,9878319,47,48499998,231,40.7655052,-73.979502
1-01011-7502,496-R1,106 CENTRAL PARK SOUTH,5,1,420,1930,340000,13600000,40,66800009,196,40.7656428,-73.9824474
1-01011-7503,696-R1,116 CENTRAL PARK SOUTH,5,1,79,1950,78236,3129440,40,15399994,197,40.7658079,-73.978283
1-01011-7501,11-R1,160 CENTRAL PARK SOUTH,5,1,161,1930,174064,8877264,51,43766753,251,40.766347,-73.9767326
1-01047-7503,1750-R1,322 WEST 57 STREET,5,1,595,1978,706825,26859350,38,124999981,177,40.7669625,-73.9778259
1-01048-7503,538-R1,301 WEST 57 STREET,5,1,296,1987,314941,13857404,44,67999989,216,40.76723,-73.9772075
1-01048-7503,538-R2,301 WEST 57 STREET,5,1,20,1987,15764,693616,44,3410001,216,40.76723,-73.9783746
1-01047-7501,115-R1,340 WEST 57 STREET,5,1,576,1931,609127,23146826,38,108000028,177,40.767258,-73.9840606
1-01048-7501,58-R1,347 WEST 57 STREET,5,1,261,1982,263995,11615780,44,57000003,216,40.7677931,-73.983051
1-01049-7501,1311-R1,1 CENTRAL PARK,5,1,129,1955,377444,23024084,61,112999996,299,40.7690691,-73.983051
1-01049-7501,1311-R2,80 COLUMBUS CIRCLE,5,1,65,1955,217897,13291717,61,65199999,299,40.7690781,-73.984671
1-01043-7501,288-R1,87177 8 AVENUE,5,1,65,1942,54785,1643550,30,7659991,140,40.8165192,-73.9845643
1-01025-7501,606-R1,828 7 AVENUE,5,2,129,1916,128513,4240929,33,19800000,154,40.7632043,-73.9847026
1-01010-7501,165-R1,140 WEST 58 STREET,5,2,38,1916,43765,1444245,33,6730000,154,40.7655259,-73.9815601
1-01011-7504,767-R1,135 WEST 58 STREET,5,2,34,1912,35328,1236480,35,5760000,163,40.7656909,-73.9829538
1-01048-7504,800-R1,333 WEST 57 STREET,5,2,188,1940,158478,5546730,35,25800000,163,40.7676788,-73.9465432
1-01995-7501,457-R1,31 TIEMANN PLACE,MORNINGSIDE HEIGHTS,R9-CONDOPS,48,1926,37103,816000,21.99,3380000,91,40.815472,-73.959071
1-00910-7501,1320-R1,250 EAST 30 STREET,MURRAY HILL,R4-ELEVATOR,80,2001,79132,3560940,45,17499995,221,40.7422824,-73.9781111
1-00911-7502,119-R1,250 EAST 31 STREET,MURRAY HILL,R4-ELEVATOR,25,1983,27950,1201850,43,5899996,211,40.742855,-73.977551
1-00911-7501,82-R1,242 EAST 31 STREET,MURRAY HILL,R4-ELEVATOR,30,1925,41297,1445395,35,6730006,163,40.7430864,-73.9778147
1-00884-7501,1420-R1,118 EAST 29 STREET,MURRAY HILL,R4-ELEVATOR,25,1920,53181,2127240,40,10399998,196,40.743331,-73.982612
1-00885-7502,1929-R1,143 LEXINGTON AVENUE,MURRAY HILL,R4-ELEVATOR,12,2006,23122,1040490,45,5110000,221,40.743361,-73.981604
1-00886-7502,388-R1,159 EAST 30 STREET,MURRAY HILL,R4-ELEVATOR,53,1987,55715,2507175,45,12300002,221,40.7434758,-73.9801654
1-00885-7501,1740-R1,117 EAST 29 STREET,MURRAY HILL,R4-ELEVATOR,29,1920,25354,887390,35,4130001,163,40.7436254,-73.9826264
1-00858-7501,1664-R1,31 EAST 28 STREET,MURRAY HILL,R4-ELEVATOR,22,1913,42940,1717600,40,8429999,196,40.7438526,-73.984874
1-00912-7502,844-R1,200 EAST 32 STREET,MURRAY HILL,R4-ELEVATOR,165,1990,198838,8947710,45,43900006,221,40.7439232,-73.9790078
1-00886-7503,587-R1,127 EAST 30 STREET,MURRAY HILL,R4-ELEVATOR,71,1988,77154,3471930,45,17000014,220,40.74424,-73.981812
1-00859-7502,1930-R1,39 EAST 29 STREET,MURRAY HILL,R4-ELEVATOR,142,2008,161752,7278840,45,35700009,221,40.7443173,-73.9841157
1-00886-7501,147-R1,111 EAST 30 STREET,MURRAY HILL,R4-ELEVATOR,52,1984,65112,2930040,45,14400011,221,40.744487,-73.982443
1-00888-7501,436-R1,157 EAST 32 STREET,MURRAY HILL,R4-ELEVATOR,79,1988,71011,3195495,45,15700000,221,40.7448373,-73.9798254
1-00860-7501,1472-R1,43 EAST 30 STREET,MURRAY HILL,R4-ELEVATOR,40,1922,40299,1611960,40,7910002,196,40.7449023,-73.9836963
1-00859-7501,1806-R1,11 EAST 29 STREET,MURRAY HILL,R4-ELEVATOR,139,2005,238818,10746810,45,52800000,221,40.744964,-73.985617
1-00887-7501,1892-R1,107 EAST 31 STREET,MURRAY HILL,R4-ELEVATOR,15,1920,14000,588000,42,2890000,206,40.7452027,-73.9820545
1-00915-7501,1765-R1,225 EAST 34 STREET,MURRAY HILL,R4-ELEVATOR,191,2007,222784,10025280,45,49200003,221,40.7454554,-73.9769235
1-00916-7501,1708-R1,649 2 AVENUE,MURRAY HILL,R9-CONDOPS,44,1960,23653,898814,38,4190000,177,40.745888,-73.975493
1-00890-7501,340-R1,155 EAST 34 STREET,MURRAY HILL,R4-ELEVATOR,330,1961,270870,9480450,35,44199992,163,40.746168,-73.978543
1-00890-7503,1250-R1,143 EAST 34 STREET,MURRAY HILL,R4-ELEVATOR,28,2002,38960,1753200,45,8610000,221,40.746353,-73.978978
1-00917-7501,191-R1,201 EAST 36 STREET,MURRAY HILL,R4-ELEVATOR,118,1963,123404,4319140,35,20099989,163,40.7469809,-73.9767985
1-00862-7502,930-R1,14 EAST 33 STREET,MURRAY HILL,R4-ELEVATOR,18,1920,32085,1090890,34,5079996,158,40.7472094,-73.9843815
1-00862-7503,1583-R1,321 5 AVENUE,MURRAY HILL,R4-ELEVATOR,250,2005,392410,17658450,45,86700002,221,40.7473557,-73.9851138
1-00892-7501,273-R1,148 EAST 37 STREET,MURRAY HILL,R4-ELEVATOR,78,1963,45116,1579060,35,7360000,163,40.7479824,-73.9776248
1-00864-7501,96-R1,20 EAST 35 STREET,MURRAY HILL,R9-CONDOPS,169,1938,182166,6193644,34,28900000,159,40.748234,-73.9823202
1-00920-7501,597-R1,250 EAST 40 STREET,MURRAY HILL,R4-ELEVATOR,234,1988,235948,10617660,45,52100006,221,40.7484906,-73.9736435
1-00894-7502,361-R1,155 EAST 38 STREET,MURRAY HILL,R4-ELEVATOR,176,1960,128571,4499985,35,21000000,163,40.748593,-73.9764921
1-00892-7503,1757-R1,45 PARK AVENUE,MURRAY HILL,R4-ELEVATOR,101,2006,136474,6141330,45,30099996,221,40.7486562,-73.9798207
1-00865-7501,320-R1,211 MADISON AVENUE,MURRAY HILL,R4-ELEVATOR,40,1985,86314,3884130,45,19100001,221,40.748676,-73.981986
1-00866-7502,1613-R1,30 EAST 37 STREET,MURRAY HILL,R4-ELEVATOR,101,1952,87697,3332486,38,15499996,177,40.7491444,-73.9809108
1-00867-7501,1169-R1,52 PARK AVENUE,MURRAY HILL,R4-ELEVATOR,17,1998,30371,1366695,45,6709999,221,40.7493279,-73.9800469
1-00866-7501,1617-R1,11 EAST 36 STREET,MURRAY HILL,R4-ELEVATOR,67,1912,76902,3076080,40,15100020,196,40.7494539,-73.9826114
1-00894-7503,817-R1,71 PARK AVENUE,MURRAY HILL,R4-ELEVATOR,43,1924,51562,1804670,35,8410005,163,40.7497532,-73.9789488
1-00894-7501,9-R1,77 PARK AVENUE,MURRAY HILL,R4-ELEVATOR,109,1924,158571,5549985,35,25899999,163,40.749954,-73.978848
1-00868-7501,19-R1,35 EAST 38 STREET,MURRAY HILL,R4-ELEVATOR,113,1961,88230,3352740,38,15600000,177,40.749988,-73.980067
1-00868-7502,101-R1,80 PARK AVENUE,MURRAY HILL,R4-ELEVATOR,224,1956,212756,7871972,37,36700003,172,40.7501347,-73.9796374
1-00868-7503,1343-R1,425 5 AVENUE,MURRAY HILL,R4-ELEVATOR,172,2003,162488,7311960,45,35899993,221,40.751017,-73.982279
1-00869-7501,266-R1,441 5 AVENUE,MURRAY HILL,R4-ELEVATOR,174,1986,134519,6053355,45,29699982,221,40.7516053,-73.9822417
1-00518-7504,1093-R1,195 PRINCE STREET,6,0,15,1920,6013,150325,25,622994,104,40.726786,-74.001561
1-00518-7502,670-R1,199 PRINCE STREET,6,0,27,1900,13020,325500,25,1349999,104,40.726854,-73.9995749
1-00231-7501,1354-R1,443 BROADWAY,6,1,16,1910,44653,1251000,28,5180000,116,40.720516,-73.9989526
1-00473-7502,1179-R1,30 CROSBY STREET,6,1,13,1890,78982,1915313,24.25,7930001,100,40.7209852,-74.0011755
1-00473-7503,1663-R1,425 BROOME STREET,6,1,18,1874,27023,756644,28,3130000,116,40.7212082,-74.003827
1-00474-7506,1654-R1,40 MERCER STREET,6,1,41,2005,117311,4575129,39,22500001,192,40.7212824,-74.0004947
1-00228-7501,1432-R1,3 WOOSTER STREET,6,1,11,2003,25300,907000,35.8,4219998,167,40.7212854,-74.0004774
1-00474-7504,1185-R1,473 BROADWAY,6,1,13,1894,35452,927069,26.1,3839997,108,40.721342,-74.0040441
1-00474-7505,1205-R1,475 BROADWAY,6,1,14,1920,36407,952043,26.1,3940003,108,40.7214259,-73.9980603
1-00228-7502,2024-R1,311 WEST BROADWAY,6,1,67,2007,146294,5851760,40,28700000,196,40.7216954,-74.0024307
1-00482-7502,1484-R1,210 LAFAYETTE STREET,6,1,52,2005,73057,2337824,32,10900003,149,40.7217305,-74.0020625
1-00475-7505,1010-R1,42 WOOSTER STREET,6,1,14,1900,55210,1449262,26.2,5999997,109,40.7223149,-73.9998573
1-00499-7505,1658-R1,92 GREENE STREET,6,1,14,2005,42823,1841389,43,9040001,211,40.7240212,-74.0094715
1-00595-7502,1103-R1,468 GREENWICH STREET,6,1,12,1920,24850,981575,39.5,4820001,194,40.7240985,-74.000271
1-00500-7502,284-R1,93 GREENE STREET,6,1,29,1900,36223,869352,24,3600000,99,40.7242884,-73.9985172
1-00498-7501,131-R1,90 PRINCE STREET,6,1,14,1900,18031,459790,25.5,1900002,105,40.7243678,-74.0098299
1-00595-7503,1238-R1,459 WASHINGTON STREET,6,1,12,1920,31613,803000,25.4,3330000,105,40.724533,-74.0093568
1-00594-7508,1882-R1,475 GREENWICH STREET,6,1,21,2007,40000,1524400,38.1,7098876,177,40.7245687,-74.0000242
1-00500-7505,1241-R1,103 GREENE STREET,6,1,12,1879,34968,1442430,41.3,7079999,202,40.7245717,-74.0080895
1-00594-7505,1585-R1,255 HUDSON STREET,6,1,64,2005,94226,3783174,40.2,18600007,197,40.7247218,-73.9993166
1-00499-7502,685-R1,114 GREENE STREET,6,1,19,1988,34876,880619,25.3,3649999,105,40.7247485,-74.0009484
1-00501-7501,1199-R1,105 WOOSTER STREET,6,1,15,1920,31967,900000,28.2,3730002,117,40.7248438,-73.997642
1-00512-7501,75-R1,583 BROADWAY,6,1,21,1900,107781,3125649,29,14100001,131,40.7248562,-74.0002891
1-00500-7501,123-R1,116 WOOSTER STREET,6,1,15,1907,20752,523988,25.3,2169997,105,40.7248782,-74.009006
1-00594-7504,1379-R1,491 GREENWICH STREET,6,1,22,1915,65085,2863740,44,14099998,217,40.725139,-74.0015855
1-00502-7501,135-R1,426 WEST BROADWAY,6,1,35,1900,34821,905346,26,3750001,108,40.7253549,-74.0089706
1-00594-7503,1399-R1,505 GREENWICH STREET,6,1,104,2003,196695,8900448,45.2,43700016,222,40.7255448,-73.997701
1-00513-7503,1390-R1,19 WEST HOUSTON STREET,6,1,32,2003,56800,2371400,41.8,11600002,204,40.725714,-74.0081395
1-00594-7506,1580-R1,304 SPRING STREET,6,1,13,2005,29579,1345844,45.5,6610001,223,40.7257744,-74.009661
1-00595-7504,1616-R1,330 SPRING STREET,6,1,40,2005,68865,3030060,44,14900002,216,40.7258617,-73.9999689
1-00515-7501,1633-R1,139 WOOSTER STREET,6,1,16,2006,38591,1620822,42,7960007,206,40.7258673,-73.99911
1-00514-7505,1404-R1,160 WOOSTER STREET,6,1,15,2003,41314,1518289,36.7,7070000,171,40.726203,-73.999685
1-00515-7502,1941-R1,149 WOOSTER STREET,6,1,11,1915,37403,1122090,30,5229997,140,40.726256,-74.0015078
1-00597-7502,1342-R1,104 CHARLTON STREET,6,1,14,1920,31930,949917,29.7,4419999,138,40.7271451,-74.002502
1-00520-7501,66-R1,27 KING STREET,6,1,38,1900,33383,898002,26.9,3720000,111,40.7277543,-74.0027378
1-00475-7503,916-R1,477 BROOME STREET,6,2,20,1920,32149,803725,25,3330000,104,40.7225486,-74.0082701
1-00517-7501,736-R1,131 THOMPSON STREET,6,2,38,1950,20826,520650,25,2160000,104,40.726646,-74.0039632
1-00097-7504,1413-R1,214 FRONT STREET,SOUTHBRIDGE,R4-ELEVATOR,15,1999,20091,710000,35.3,3310000,165,40.707451,-74.002642
1-00097-7503,1412-R1,220 FRONT STREET,SOUTHBRIDGE,R4-ELEVATOR,15,1910,25825,920000,35.6,4290000,166,40.7075873,-74.0024316
1-00097-7502,1218-R1,130 BEEKMAN STREET,SOUTHBRIDGE,R4-ELEVATOR,18,1900,23044,738000,32,3440001,149,40.707605,-74.0028169
1-00095-7501,118-R1,117 BEEKMAN STREET,SOUTHBRIDGE,R4-ELEVATOR,22,1983,37170,1226610,33,5710003,154,40.7077115,-74.003341
1-00106-7502,1164-R1,324 PEARL STREET,SOUTHBRIDGE,R4-ELEVATOR,49,1900,37646,1148203,30.5,5349996,142,40.7089984,-74.0017996
1-00091-7502,1969-R1,111 FULTON STREET,SOUTHBRIDGE,R4-ELEVATOR,163,1940,191740,6710000,35,31299990,163,40.7099922,-74.0068953
1-00091-7501,1605-R1,119 FULTON STREET,SOUTHBRIDGE,R4-ELEVATOR,19,1919,26528,848000,32,3950002,149,40.7100769,-74.0069702
1-00090-7501,1121-R1,15 PARK ROW,SOUTHBRIDGE,R4-ELEVATOR,210,1896,196837,6441273,32.7,30000000,152,40.7113616,-74.0078452
1-00100-7501,1286-R1,150 NASSAU STREET,SOUTHBRIDGE,R4-ELEVATOR,125,1900,168889,5580000,33,25999996,154,40.7114819,-74.005956
1-00016-7513,1217-R1,25 BATTERY PLACE,7,1,117,2003,267723,11512089,43,56499997,211,40.7050022,-74.0175192
1-00016-7514,1623-R1,30 WEST STREET,7,1,234,2006,431824,18568432,43,91199996,211,40.7062843,-74.016943
1-00016-7517,1902-R1,70 BATTERY PLACE,7,1,249,2006,438177,21908850,50,107999966,246,40.7072038,-74.0175949
1-00016-7510,779-R1,99 BATTERY PLACE,7,1,293,1988,341489,13659560,40,67100013,196,40.7076491,-74.0166075
1-00016-7511,780-R1,2 SOUTH END AVENUE,7,1,163,1990,156260,6250400,40,30700002,196,40.707977,-74.0173492
1-00016-7509,621-R1,21 SOUTH END AVENUE,7,1,182,1988,208281,8331240,40,40900011,196,40.7081658,-74.0178918
1-00016-7508,498-R1,200 RECTOR PLACE,7,1,546,1987,586224,23448960,40,114999983,196,40.7085934,-74.0162603
1-00016-7506,398-R1,280 RECTOR PLACE,7,1,121,1985,106129,4245160,40,20800003,196,40.7088321,-74.0166546
1-00016-7507,450-R1,300 RECTOR PLACE,7,1,154,1986,126008,5040320,40,24700011,196,40.7089922,-74.0173477
1-00016-7505,371-R1,380 RECTOR PLACE,7,1,247,1987,255845,10233800,40,50200004,196,40.70924,-74.0180757
1-00016-7515,1848-R1,225 RECTOR PLACE,7,1,304,1985,257848,10313920,40,50600031,196,40.7093441,-74.016035
1-00016-7503,385-R1,250 SOUTH END AVENUE,7,1,109,1985,105000,4200000,40,20600009,196,40.7097763,-74.016117
1-00016-7501,308-R1,377 RECTOR PLACE,7,1,239,1985,219495,8779800,40,43100005,196,40.7099212,-74.0179635
1-00016-7504,360-R1,300 ALBANY STREET,7,1,107,1986,87479,3499160,40,17199989,197,40.7100228,-74.0168448
1-00016-7502,313-R1,320 ALBANY STREET,7,1,133,1986,139719,5588760,40,27399999,196,40.7100964,-74.0172519
1-00132-7503,1042-R1,71 MURRAY STREET,7,1,11,2001,54500,2400000,44,11800003,217,40.7147931,-74.0104241
1-00132-7501,401-R2,275 GREENWICH STREET,7,1,133,1987,138016,4830560,35,22499996,163,40.7151804,-74.0109917
1-00016-7516,1858-R1,1 RIVER TERRACE,7,1,256,2006,434398,18679114,43,91699998,211,40.7154159,-74.0160024
1-00137-7503,1593-R1,92 WARREN STREET,7,1,12,1920,30062,961984,32,4480000,149,40.7155997,-74.0107576
1-00142-7501,1507-R2,99 WARREN STREET,7,1,220,2006,535060,32103600,60,158000003,295,40.7158065,-74.0118201
1-00132-7501,401-R1,295 GREENWICH STREET,7,1,128,1987,115909,4056815,35,18900006,163,40.7160466,-74.0108091
1-00140-7505,1847-R1,157 CHAMBERS STREET,7,1,38,1931,87334,3144024,36,14600007,167,40.7161348,-74.0102161
1-00140-7501,499-R1,165 CHAMBERS STREET,7,1,83,1987,89377,3575080,40,17600004,197,40.7162943,-74.0103255
1-00140-7502,594-R1,311 GREENWICH STREET,7,1,80,1988,66551,2662040,40,13100003,197,40.7165933,-74.0105929
1-00141-7504,996-R1,166 DUANE STREET,7,1,30,1910,92487,3150000,34.1,14700001,159,40.7167131,-74.0095316
1-00142-7502,1629-R1,200 CHAMBERS STREET,7,1,311,2005,314373,17919261,57,88000018,280,40.7167519,-74.0123288
1-00144-7502,1597-R1,36 HUDSON STREET,7,1,12,1910,27928,893696,32,4159998,149,40.716968,-74.00878
1-00180-7502,198-R1,67 HUDSON STREET,7,1,20,1915,20750,612125,29.5,2850003,137,40.718069,-74.0096795
1-00193-7501,120-R1,395 BROADWAY,7,1,64,1915,119640,3948120,33,18400018,154,40.7186204,-74.009232
1-00179-7506,1196-R1,14 LEONARD STREET,7,1,31,1915,88615,2481000,28,10300000,116,40.7187079,-74.0029076
1-00193-7509,1624-R1,51 WALKER STREET,7,1,15,2005,34587,1435360,41.5,7049999,204,40.7189041,-74.0080509
1-00189-7507,1052-R1,132 FRANKLIN STREET,7,1,13,1915,53468,1630774,30.5,7599998,142,40.7191094,-74.0034931
1-00189-7502,430-R1,104 HUDSON STREET,7,1,14,1921,40581,1136268,28,4709999,116,40.7193322,-74.0069485
1-00190-7505,1181-R1,25 NORTH MOORE STREET,7,1,33,1924,119996,4439852,37,20700000,173,40.7199226,-74.0063868
1-00190-7504,1045-R1,27 NORTH MOORE STREET,7,1,57,1905,150010,4875000,32.5,22699999,151,40.7199913,-74.0087136
1-00190-7503,956-R1,31 NORTH MOORE STREET,7,1,23,1915,86900,2700000,31.1,12600000,145,40.7199962,-74.008045
1-00188-7503,1155-R1,53 NORTH MOORE STREET,7,1,46,1910,83020,2864190,34.5,13300004,160,40.7201466,-74.0071016
1-00188-7502,1063-R1,387 GREENWICH STREET,7,1,36,1915,86451,2982560,34.5,13899999,161,40.7202869,-74.0074134
1-00190-7506,2009-R1,124 HUDSON STREET,7,1,26,2000,68033,2517221,37,11700002,172,40.7203576,-74.0076584
1-00212-7501,44-R1,260 WEST BROADWAY,7,1,50,1915,122640,3832500,31.3,17899998,146,40.7204873,-74.0090221
1-00188-7505,1986-R1,48 BEACH STREET,7,1,25,1930,94532,2646896,28,11000000,116,40.7204935,-74.0098073
1-00214-7503,1388-R1,7 HUBERT STREET,7,1,35,2004,138798,4684432,33.7,21320882,154,40.721181,-74.0082837
1-00212-7503,1844-R1,1 YORK STREET,7,1,34,1890,67451,2160000,32,10104117,150,40.7213581,-74.0056738
1-00215-7502,1393-R1,161 HUDSON STREET,7,1,24,1930,66444,1926876,29,8979998,135,40.721825,-74.0093468
1-00220-7503,1392-R1,38 LAIGHT STREET,7,1,33,1900,73257,1941310,26.5,8039998,110,40.7220002,-74.0087798
1-00220-7502,2002-R1,28 LAIGHT STREET,7,1,31,1920,94924,3156000,33.2,14699999,155,40.722085,-74.0056207
1-00217-7501,1243-R1,79 LAIGHT STREET,7,1,33,1853,100894,3279055,32.5,15299993,152,40.7221223,-74.008681
1-00219-7504,1191-R1,169 HUDSON STREET,7,1,12,1915,51647,1498000,29,6979999,135,40.722303,-74.0074906
1-00219-7501,944-R1,429 GREENWICH STREET,7,1,28,1920,88897,2533564,28.5,10500000,118,40.7224011,-74.006894
1-00219-7502,1003-R1,39 VESTRY STREET,7,1,16,1930,37785,1076872,28.5,4460000,118,40.7225316,-74.0111314
1-00222-7501,136-R1,28 VESTRY STREET,7,1,20,1962,36435,1065724,29.3,4959999,136,40.7227677,-74.0085982
