MANHATTAN CONDOMINIUM PROPERTY Boro-Block-Lot,MANHATTAN CONDOMINIUM PROPERTY Condo Section,MANHATTAN CONDOMINIUM PROPERTY Address,MANHATTAN CONDOMINIUM PROPERTY Neighborhood,MANHATTAN CONDOMINIUM PROPERTY Building Classification,MANHATTAN CONDOMINIUM PROPERTY Total Units,MANHATTAN CONDOMINIUM PROPERTY Year Built,MANHATTAN CONDOMINIUM PROPERTY Gross SqFt,MANHATTAN CONDOMINIUM PROPERTY Est. Gross Income,MANHATTAN CONDOMINIUM PROPERTY Gross Income per SqFt,MANHATTAN CONDOMINIUM PROPERTY Full Market Value,MANHATTAN CONDOMINIUM PROPERTY Market Value per SqFt,Latitude,Longtitude
1-00135-7503,1162-R1,8 WARREN STREET,CIVIC CENTER,R4-ELEVATOR,14,1860,32039,1121365,35,5219998,163,40.7138809,-74.006323
1-00135-7504,1131-R1,270 BROADWAY,CIVIC CENTER,R4-ELEVATOR,87,1910,217318,7606130,35,34736542,160,40.7142299,-73.9955778
1-00136-7502,1007-R1,38 WARREN STREET,CIVIC CENTER,R4-ELEVATOR,26,1900,50165,1555000,31,7240000,144,40.714557,-73.9947441
1-00146-7501,715-R1,96 READE STREET,CIVIC CENTER,R4-ELEVATOR,21,1895,32300,1033600,32,4810003,149,40.7158602,-73.9956319
1-00147-7509,1816-R1,137 DUANE STREET,CIVIC CENTER,R4-ELEVATOR,19,1915,45510,1456320,32,6779998,149,40.7165433,-73.996999
1-00147-7508,1702-R1,52 THOMAS STREET,CIVIC CENTER,R4-ELEVATOR,20,1915,35900,1148800,32,5350000,149,40.716567,-74.003619
1-00173-7502,1434-R1,65 WORTH STREET,CIVIC CENTER,R4-ELEVATOR,30,1920,89678,2780000,31,12899996,144,40.7171294,-74.0035213
1-00173-7501,1157-R1,66 LEONARD STREET,CIVIC CENTER,R4-ELEVATOR,47,1900,132423,4759282,35.9,22199999,168,40.7174825,-74.0024071
1-00175-7503,711-R1,55 WHITE STREET,CIVIC CENTER,R4-ELEVATOR,17,1860,32939,922000,28,3820000,116,40.718117,-73.9968787
1-00175-7504,1108-R1,90 FRANKLIN STREET,CIVIC CENTER,R4-ELEVATOR,24,1915,98891,3609522,36.5,16799999,170,40.718341,-74.0028786
1-00178-7502,932-R1,211 WEST BROADWAY,CIVIC CENTER,R2-WALK-UP,11,1915,24985,599640,24,2479999,99,40.718892,-73.9959078
1-00145-7504,668-R1,97 READE STREET,CIVIC CENTER,R4-ELEVATOR,20,1920,24992,799744,32,3730000,149,40.722205,-73.9986798
1-01051-7501,2008-R1,420 WEST 42 STREET,CLINTON,R4-ELEVATOR,262,2000,245000,8749000,35.7,40800000,167,40.7586226,-73.99621
1-01089-7502,2036-R1,533 11 AVENUE,CLINTON,R9-CONDOPS,107,2005,75593,2343383,31,10899996,144,40.7602079,-73.998794
1-01089-7502,2036-R2,533 11 AVENUE,CLINTON,R9-CONDOPS,1171,2005,994310,30823610,31,144000004,145,40.7602079,-73.999744
1-01071-7501,625-R1,500 WEST 43 STREET,CLINTON,R4-ELEVATOR,311,1988,257680,10049520,39,49299991,191,40.7602727,-73.9979872
1-01054-7502,1706-R1,406 WEST 45 STREET,CLINTON,R4-ELEVATOR,21,1920,26041,911435,35,4250001,163,40.760395,-73.99881
1-01089-7501,2012-R1,601 WEST 41 STREET,CLINTON,R9-CONDOPS,83,2005,80136,3205440,40,15700000,196,40.7604232,-74.0069148
1-01071-7502,1227-R1,529 WEST 42 STREET,CLINTON,R9-CONDOPS,160,1912,208598,6257940,30,29100000,140,40.7605199,-74.0079002
1-01053-7503,1775-R1,464 WEST 44 STREET,CLINTON,R4-ELEVATOR,58,2007,54027,2377188,44,11699989,217,40.7606792,-74.0083967
1-01090-7501,1630-R1,621 WEST 42 STREET,CLINTON,R4-ELEVATOR,478,2005,467344,19628448,42,96399929,206,40.7611308,-74.007284
1-01055-7501,474-R1,447 WEST 45 STREET,CLINTON,R4-ELEVATOR,34,1986,28692,918144,32,4279999,149,40.761375,-74.0068398
1-01074-7502,1099-R1,510 WEST 46 STREET,CLINTON,R4-ELEVATOR,85,1999,54840,2949638,54,14500000,264,40.7621996,-74.0085553
1-01056-7501,354-R1,446 WEST 47 STREET,CLINTON,R4-ELEVATOR,28,1920,20655,681615,33,3180003,154,40.762408,-74.0080482
1-01058-7501,660-R1,715 9 AVENUE,CLINTON,R9-CONDOPS,16,1901,7812,218736,28,906000,116,40.762747,-74.0076711
1-01075-7501,1500-R1,516 WEST 47 STREET,CLINTON,R4-ELEVATOR,151,2003,116904,4442352,38,20699993,177,40.7628628,-74.0070435
1-01075-7502,1787-R1,517 WEST 46 STREET,CLINTON,R4-ELEVATOR,45,2006,40594,1420790,35,6619995,163,40.762869,-74.0059228
1-01063-7501,389-R1,414 WEST 54 STREET,CLINTON,R4-ELEVATOR,34,1986,30457,974624,32,4539998,149,40.766307,-74.0055201
1-01064-7502,1642-R1,421 WEST 54 STREET,CLINTON,R4-ELEVATOR,27,1928,56495,2146810,38,10000001,177,40.766762,-74.003987
1-01064-7501,331-R1,445 WEST 54 STREET,CLINTON,R4-ELEVATOR,29,1986,32906,1151710,35,5360001,163,40.7671018,-74.004862
1-01067-7502,1505-R1,426 WEST 58 STREET,CLINTON,R4-ELEVATOR,16,1910,52794,2006172,38,9340003,177,40.7687972,-74.006302
1-01067-7501,655-R1,477 WEST 57 STREET,CLINTON,R9-CONDOPS,98,1986,97365,3699870,38,17200000,177,40.769165,-74.007424
1-00386-7501,548-R1,211 EAST 3 STREET,1,0,13,1920,18990,436700,23,1809994,95,40.7225501,-73.9938117
1-00398-7501,394-R1,182 EAST 2 STREET,1,0,41,1987,35664,1025340,28.8,4249994,119,40.722735,-73.9988055
1-00393-7501,1138-R1,642 EAST 11 STREET,1,0,35,1999,36046,1108415,30.8,5159994,143,40.726647,-73.9988055
1-00394-7503,1124-R1,625 EAST 11 STREET,1,0,12,2001,11495,387956,33.7,1810001,157,40.7269541,-73.9955719
1-00394-7502,1113-R1,613 EAST 11 STREET,1,0,12,2001,15957,482699,30.2,2250000,141,40.7272637,-73.991916
1-00405-7503,1104-R1,511 EAST 11 STREET,1,0,12,1999,14376,427686,29.8,1990002,138,40.7281737,-73.998989
1-00406-7501,852-R1,212 AVENUE B,1,0,24,1900,15021,315440,21,1309999,87,40.7286618,-73.9967901
1-00407-7502,1081-R1,503 EAST 13 STREET,1,0,18,1999,19119,554451,29,2579997,135,40.729684,-73.9941959
1-00407-7501,338-R1,214 AVENUE A,1,0,18,1920,11033,220660,20,825000,75,40.7298573,-73.9989581
1-00440-7503,1503-R1,431 EAST 12 STREET,1,0,13,1900,20099,565000,28.1,2340001,116,40.72947,-73.993163
1-00465-7501,1972-R1,38 STUYVESANT STREET,1,0,12,1900,14269,455000,31.9,2119999,149,40.729793,-73.9942485
1-00385-7501,1618-R1,254 EAST 2 STREET,1,1,47,2005,36472,1604768,44,7880000,216,40.721358,-73.9922211
1-00384-7503,1720-R1,310 EAST HOUSTON STREET,1,1,23,2005,34734,1050700,30.2,4889998,141,40.7213743,-73.989845
1-00375-7501,1213-R1,71 AVENUE D,1,1,25,2001,27798,705791,25.4,2920006,105,40.7223035,-73.9937616
1-00397-7501,489-R1,175 EAST 2 STREET,1,1,21,1920,20038,505959,25.2,2099999,105,40.722312,-73.994648
1-00397-7502,628-R1,240 EAST HOUSTON STREET,1,1,16,1920,19854,476496,24,1970002,99,40.7223397,-73.988212
1-00390-7501,1183-R1,217 EAST 7 STREET,1,1,16,2000,15704,522158,33.3,2430001,155,40.724626,-73.988173
1-00392-7501,341-R1,143 AVENUE B,1,1,83,1928,78982,2033786,25.7,8419998,107,40.726375,-73.9892092
1-00405-7504,1447-R1,525 EAST 11 STREET,1,1,26,1965,29906,1039233,34.7,4840000,162,40.728209,-73.9862587
1-00443-7502,1970-R1,62 EAST 1 STREET,1,1,11,2007,14982,530000,35.4,2470001,165,40.7237647,-73.988231
1-00444-7501,271-R1,72 EAST 3 STREET,1,1,20,1900,17225,590000,34.3,2749993,160,40.724866,-73.9890586
1-00432-7501,714-R1,85 AVENUE A,1,1,32,1991,23605,895000,37.9,4169999,177,40.725358,-73.98877
1-00434-7501,642-R1,103 AVENUE A,1,1,20,1920,11229,350000,31.2,1630000,145,40.7258509,-73.98443
1-00459-7502,2025-R1,52 EAST 4 STREET,1,1,14,2007,24778,605000,24.42,2510002,101,40.72665,-73.9844113
1-00464-7503,1959-R1,133 2 AVENUE,1,1,12,1920,13648,500000,36.6,2330001,171,40.7288194,-73.9875519
1-00438-7502,1207-R1,416 EAST 11 STREET,1,1,13,2001,15742,580000,36.8,2700003,172,40.728923,-73.9838781
1-00451-7502,1231-R1,240 EAST 10 STREET,1,1,35,1999,62556,2400000,38.4,11800007,189,40.7289435,-73.9868068
1-00463-7501,224-R1,63 COOPER SQUARE,1,1,36,1984,24528,1100000,44.8,5400005,220,40.7290645,-73.9886164
1-00464-7501,643-R1,214 EAST 9 STREET,1,1,14,1900,14650,470000,32.1,2190001,149,40.7296611,-73.991114
1-00440-7502,1264-R1,407 EAST 12 STREET,1,1,27,1900,30363,1050000,34.6,4889997,161,40.7298953,-73.9893415
1-00441-7503,1766-R1,421 EAST 13 STREET,1,1,96,2006,93382,4200000,45,20599999,221,40.730308,-73.9877428
1-00441-7501,292-R1,224 1 AVENUE,1,1,40,1911,25528,840000,32.9,3909999,153,40.7310565,-73.9831119
1-00469-7501,390-R1,105 3 AVENUE,1,1,16,1920,12192,430000,35.3,1999999,164,40.732649,-73.9852589
1-00399-7501,602-R1,50 AVENUE A,1,2,17,1920,21314,490222,23,2030000,95,40.723804,-73.9899057
1-00389-7501,545-R1,97 AVENUE B,1,2,30,1901,20940,502560,24,2080000,99,40.7245709,-73.9819707
1-00390-7502,1125-R1,338 EAST 8 STREET,1,2,78,2001,65832,2523720,38.3,12400000,188,40.7248288,-73.9886454
1-00432-7502,840-R1,89 AVENUE A,1,2,26,1900,21586,540000,25,2240000,104,40.7254763,-73.98779
1-00446-7501,695-R1,125 EAST 4 STREET,1,2,28,2004,17793,640000,36,2980000,167,40.725692,-73.9829045
1-00447-7501,777-R1,83 1 AVENUE,1,2,20,1900,11574,390000,33.7,1820000,157,40.7259971,-73.981605
1-00446-7502,705-R1,99 EAST 4 STREET,1,2,66,1920,67764,2150000,31.7,10000000,148,40.7260258,-73.9886679
1-00462-7501,901-R1,24 EAST 7 STREET,1,2,34,1991,36693,1250000,34.1,5820000,159,40.7283766,-73.9825193
1-00466-7501,1804-R1,47 3 AVENUE,1,2,28,2006,30662,1475000,48.1,7240000,236,40.7307318,-73.9860911
1-00468-7501,203-R1,193 2 AVENUE,1,2,16,1900,21607,600000,27.8,2490000,115,40.7312708,-73.987283
1-00469-7502,493-R1,105 3 AVENUE,1,2,155,1964,113930,4285440,37.6,20000000,176,40.732649,-73.987283
1-00805-7501,1349-R1,130 WEST 30 STREET,FASHION,R4-ELEVATOR,45,1929,120453,5150000,42.8,25299997,210,40.7476569,-73.991163
1-00778-7501,1795-R1,261 WEST 28 STREET,FASHION,R4-ELEVATOR,52,2006,66978,3181455,47.5,15599983,233,40.748427,-73.995903
1-00807-7501,1641-R2,125 WEST 31 STREET,FASHION,R9-CONDOPS,93,2005,75799,4000000,53,19600000,259,40.74863,-73.990279
1-00779-7501,290-R1,252 WEST 30 STREET,FASHION,R4-ELEVATOR,24,1927,52598,1946126,37,9069997,172,40.749288,-73.994917
1-00780-7501,274-R1,406 8 AVENUE,FASHION,R4-ELEVATOR,29,1986,26864,1020832,38,4759992,177,40.74975,-73.9948338
1-00814-7501,1559-R1,1031 6 AVENUE,FASHION,R4-ELEVATOR,89,2004,97349,4500000,46.2,22100002,227,40.7526711,-73.9857366
1-00760-7501,1295-R1,315 WEST 36 STREET,FASHION,R4-ELEVATOR,20,1926,31962,1182594,37,5510000,172,40.7540581,-73.9934102
1-00762-7501,95-R1,319 WEST 38 STREET,FASHION,R2-WALK-UP,16,1920,11685,432345,37,2009997,172,40.7553539,-73.992515
1-00762-7502,1863-R1,502 9 AVENUE,FASHION,R4-ELEVATOR,36,2005,34168,1571728,46,7719996,226,40.7558949,-73.9941198
1-00763-7501,187-R1,355 WEST 39 STREET,FASHION,R4-ELEVATOR,16,1920,7000,259000,37,1209998,173,40.7564884,-73.9935167
1-00008-7501,1822-R1,39 WHITEHALL STREET,FINANCIAL,R4-ELEVATOR,78,1985,126420,5688900,45,27900000,221,40.7029384,-74.0126855
1-00007-7501,735-R1,1 COENTIES SLIP,FINANCIAL,R9-CONDOPS,42,1920,36500,1277500,35,5950000,163,40.7036632,-74.0106413
